        Time / s                E-Field (0 0 2)_1(X) [1]/real
          3.8596827e-009                     0.033857527
          3.8613565e-009                     0.025271129
          3.8630302e-009                     0.014357299
           3.864704e-009                     0.002794365
          3.8663777e-009                   -0.0076927699
          3.8680515e-009                    -0.015512537
          3.8697252e-009                    -0.019372179
           3.871399e-009                    -0.018404925
          3.8730728e-009                    -0.012241266
          3.8747465e-009                   -0.0010177673
          3.8764203e-009                     0.014669708
           3.878094e-009                     0.033858064
          3.8797678e-009                     0.055343422
          3.8814415e-009                     0.077827953
          3.8831153e-009                       0.1000645
           3.884789e-009                      0.12097833
          3.8864628e-009                      0.13975094
          3.8881366e-009                      0.15585698
          3.8898103e-009                      0.16905445
          3.8914841e-009                      0.17933168
          3.8931578e-009                      0.18682272
          3.8948316e-009                      0.19170777
          3.8965053e-009                      0.19411414
          3.8981791e-009                      0.19403241
          3.8998529e-009                      0.19126457
          3.9015266e-009                      0.18541747
          3.9032004e-009                      0.17594306
          3.9048741e-009                      0.16221713
          3.9065479e-009                      0.14364305
          3.9082216e-009                      0.11976803
          3.9098954e-009                      0.09040079
          3.9115692e-009                     0.055711626
          3.9132429e-009                     0.016296456
          3.9149167e-009                    -0.026805147
          3.9165904e-009                    -0.072140961
          3.9182642e-009                     -0.11792441
          3.9199379e-009                     -0.16215445
          3.9216117e-009                     -0.20276446
          3.9232854e-009                     -0.23778078
          3.9249592e-009                     -0.26547117
           3.926633e-009                     -0.28447342
          3.9283067e-009                     -0.29389488
          3.9299805e-009                     -0.29337055
          3.9316542e-009                     -0.28307278
           3.933328e-009                     -0.26367344
          3.9350017e-009                     -0.23626903
          3.9366755e-009                     -0.20228181
          3.9383493e-009                     -0.16334611
           3.940023e-009                     -0.12119058
          3.9416968e-009                    -0.077528715
          3.9433705e-009                    -0.033968613
          3.9450443e-009                    0.0080541504
           3.946718e-009                     0.047315073
          3.9483918e-009                     0.082811295
          3.9500656e-009                       0.1137496
          3.9517393e-009                       0.1395215
          3.9534131e-009                      0.15967455
          3.9550868e-009                      0.17388346
          3.9567606e-009                      0.18192561
          3.9584343e-009                      0.18366902
          3.9601081e-009                      0.17908129
          3.9617819e-009                      0.16825622
          3.9634556e-009                      0.15145057
          3.9651294e-009                      0.12912285
          3.9668031e-009                      0.10196819
          3.9684769e-009                     0.070941725
          3.9701506e-009                     0.037258384
          3.9718244e-009                     0.002363687
          3.9734981e-009                    -0.032123818
          3.9751719e-009                    -0.064497138
          3.9768457e-009                    -0.093073012
          3.9785194e-009                     -0.11632381
          3.9801932e-009                     -0.13301112
          3.9818669e-009                      -0.1423006
          3.9835407e-009                     -0.14384482
          3.9852144e-009                     -0.13782905
          3.9868882e-009                     -0.12497142
           3.988562e-009                     -0.10646901
          3.9902357e-009                    -0.083892967
          3.9919095e-009                    -0.059047637
          3.9935832e-009                    -0.033808905
           3.995257e-009                   -0.0099536777
          3.9969307e-009                     0.011004466
          3.9986045e-009                     0.027950438
          4.0002783e-009                      0.04025049
           4.001952e-009                     0.047776932
          4.0036258e-009                     0.050883527
          4.0052995e-009                     0.050338815
          4.0069733e-009                     0.047220437
           4.008647e-009                     0.042777918
          4.0103208e-009                     0.038281946
          4.0119945e-009                     0.034885505
          4.0136683e-009                     0.033515927
          4.0153421e-009                     0.034803112
          4.0170158e-009                     0.039042168
          4.0186896e-009                     0.046190217
