        Time / s                signal1/real
          1.7843932e-010                       0.9997828
          1.7891388e-010                       0.9993968
          1.7938846e-010                       0.9988181
          1.7986303e-010                      0.99804705
          1.8033761e-010                      0.99708402
          1.8081217e-010                      0.99592966
          1.8128675e-010                       0.9945845
          1.8176131e-010                       0.9930495
          1.8223589e-010                      0.99132538
          1.8271047e-010                      0.98941326
          1.8318504e-010                      0.98731422
          1.8365962e-010                      0.98502934
          1.8413418e-010                       0.9825601
          1.8460876e-010                      0.97990781
          1.8508332e-010                      0.97707403
           1.855579e-010                       0.9740603
          1.8603247e-010                      0.97086853
          1.8650705e-010                      0.96750027
          1.8698162e-010                      0.96395761
          1.8745619e-010                      0.96024257
          1.8793077e-010                      0.95635706
          1.8840533e-010                      0.95230353
          1.8887991e-010                        0.948084
          1.8935448e-010                      0.94370103
          1.8982906e-010                      0.93915689
          1.9030363e-010                       0.9344542
           1.907782e-010                      0.92959571
          1.9125278e-010                      0.92458379
          1.9172734e-010                      0.91942149
          1.9220192e-010                      0.91411138
          1.9267649e-010                       0.9086566
          1.9315106e-010                       0.9030599
          1.9362564e-010                      0.89732438
          1.9410021e-010                      0.89145333
          1.9457479e-010                      0.88544953
          1.9504935e-010                      0.87931657
          1.9552393e-010                      0.87305731
           1.959985e-010                      0.86667544
          1.9647307e-010                      0.86017394
          1.9694764e-010                      0.85355663
          1.9742222e-010                      0.84682649
           1.978968e-010                      0.83998722
          1.9837136e-010                      0.83304256
          1.9884594e-010                      0.82599562
           1.993205e-010                      0.81885034
          1.9979508e-010                      0.81160998
          2.0026965e-010                      0.80427855
          2.0074423e-010                      0.79685926
          2.0121879e-010                      0.78935623
          2.0169337e-010                      0.78177261
          2.0216795e-010                      0.77411246
          2.0264251e-010                      0.76637954
          2.0311709e-010                      0.75857723
          2.0359166e-010                      0.75070959
          2.0406624e-010                      0.74277991
           2.045408e-010                      0.73479235
          2.0501538e-010                      0.72675008
          2.0548996e-010                      0.71865708
          2.0596452e-010                      0.71051729
           2.064391e-010                      0.70233381
